chain,chain_id,token_symbol,token_address,decimals
Base,8453,BAL,0x4158734d47fc9692176b5085e0f52ee0da5d47f1,18
Base,8453,VELORA,0x4e107a0000db66f0e9fd2039288bf811dd1f9c74,18
Base,8453,DAI,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,18
Base,8453,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,6
Base,8453,POOL,0xd652c5425aea2afd5fb142e120fecf79e18fafc3,18
Base,8453,USDC,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,6
Base,8453,USDT,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,6
BSC,56,CAKE,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18
BSC,56,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18
BSC,56,USDT,0x55d398326f99059ff775485246999027b3197955,18
BSC,56,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18
Ethereum,1,POOL,0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,18
Ethereum,1,CAKE,0x152649ea73beab28c5b49b26eb48f7ead6d4c898,18
Ethereum,1,VELORA,0x4e107a0000db66f0e9fd2039288bf811dd1f9c74,18
Optimism,10,POOL,0x395ae52bb17aef68c2888d941736a71dc6d4e125,18
Optimism,10,VELORA,0x4e107a0000db66f0e9fd2039288bf811dd1f9c74,18
Optimism,10,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,6
Optimism,10,WLD,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,18
Worldchain,480,POOL,0x7077c71b4af70737a08287e279b717dcf64fdc57,18
Solana,34268394551451,USDC,epjfwdd5aufqssqem2qn1xzybapc8g4weggkzwytdt1v,6
Solana,34268394551451,USDT,es9vmfrzacermjfrf4h2fyd4kconky11mcce8benwnyb,6
Solana,34268394551451,PYUSD,2b1kv6dkpanxd5ixfnxcpjxmkwqjjaymczfhsfu24gxo,6
Solana,34268394551451,USDG,2u1tszseqz3qbwf3ungpfc8tzmk2tdiwknnrwmwgjgwh,6
Solana,34268394551451,USDY,a1klobrkbde8ty9qtnquqtq3c2ortoc3u7twggz7seto6,6
Solana,34268394551451,USDP,hvbpjaqgnpkgbaybzqbr1t7yfdvayvp2vcqqfkken4tm,6
Solana,34268394551451,EURC,hzwqbkzw8hxmn6bf2yfznrht3c2ixxzpkcfu7ubedktr,6
Solana,34268394551451,DAI,ejmyn6qec1tf1jxig1ae7utjhuxswk1tcwnwqxwv4j6o,8
Monad,143,USDC,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,6
Monad,143,USDT,0x88b8e2161dedc77ef4ab7585569d2415a748da94,6
Lens,232,GHO,0x000000000000000000000000000000000000800A,18
Lens,232,USDC,0x88F08E304EC4f90D644Cec3Fb69b8aD414acf884,6
zkSync,324,USDC,0x1d17CBcF0D6D143135aE902365D2E5e2A16538D4,6
zkSync,324,USDT,0x493257fD37EDB34451f62EDf8D2a0C418852bA4C,6
zkSync,324,ETH,0x5AEa5775959fBC2557Cc8789bC1bf90A239D9a91,18
Lisk,1135,USDC.e,0xF242275d3a6527d877f2c927a82D9b057609cc71,6
Lisk,1135,USDT,0x05D032ac25d322df992303dCa074EE7392C117b9,6
Soneium,1868,USDC.e,0xbA9986D2381edf1DA03B0B9c1f8b00dc4AacC369,6
Plasma,9745,USDT,0x55d398326f99059fF775485246999027B3197955,18
Mode,34443,USDC,0xd988097fb8612cc24eeC14542bC03424c656005f,6
Mode,34443,USDT,0xf0F161fDA2712DB8b566946122a5af183995e2eD,6
Ink,57073,USDC,0x2D270e6886d130D724215A266106e6832161EAEd,6
Blast,81457,USDB,0x4300000000000000000000000000000000000003,18
Zora,7777777,USDC,0x79a02482a880bce3f13e09da970dc34db4cd24d1,6
